"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 08:37:34 GMT 2021","Thu Aug 12 08:37:41 GMT 2021","7171","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
"passed","Thu Aug 12 08:37:15 GMT 2021","Thu Aug 12 08:37:23 GMT 2021","8578","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
"passed","Thu Aug 12 08:37:28 GMT 2021","Thu Aug 12 08:37:33 GMT 2021","4758","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
