"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 10:48:24 GMT 2021","Thu Aug 12 10:48:38 GMT 2021","13869","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
"passed","Thu Aug 12 10:48:29 GMT 2021","Thu Aug 12 10:48:37 GMT 2021","8378","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
"passed","Thu Aug 12 10:47:30 GMT 2021","Thu Aug 12 10:47:38 GMT 2021","7975","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
"passed","Thu Aug 12 10:46:44 GMT 2021","Thu Aug 12 10:47:02 GMT 2021","18647","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
"passed","Thu Aug 12 10:47:50 GMT 2021","Thu Aug 12 10:48:14 GMT 2021","24092","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
"passed","Thu Aug 12 10:47:17 GMT 2021","Thu Aug 12 10:47:38 GMT 2021","21071","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
"passed","Thu Aug 12 10:47:04 GMT 2021","Thu Aug 12 10:47:14 GMT 2021","9646","","Home page spec","","Home page spec","Passed test","Passed test","Generating Allure reports Passed test"
